course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4,class,degree,enrollment,online,in_person,blended_learning
Data Analytics and Information Systems,Shepherd University,"Shepherdstown, West Virginia, United States","Data analytics is a deep, multi-faceted subject with significant historical context, modern relevance, and future promise. Science, technology, business, crime, governance, recreation, and our private lives are all impacted by society’s increasing capacity to generate, store, and transmit digital data.","9,677 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Data Analytics and Artificial Intelligence,EDHEC Business School,"Lille, France",The M.Sc. in Data Analytics and Artificial Intelligence from EDHEC Business School will hone business decisionmaking skills. ,"24,900 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Big Data and High Performance Computing,University of Liverpool,"Liverpool, England, United Kingdom",The MSc in Big Data and High Performance Computing  programme offered at the University of Liverpool provides students with an in-depth understanding of big data analysis and processing using high performance computing technology. This MSc programme enables students to gain a specialist qualification in an area of computing that is in great demand worldwide.,"23,774 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Geographical Information Science,Faculty of Environment School of Geography,Online,"This part-time, online Masters Geographical Information Science course at University of Leeds will provide you with in-depth and specialist knowledge of GIS techniques. You will focus on scientific, technical and computational aspects of Geographical Information Science (GIScience), with particular reference to the socioeconomic and environmental sciences.",,month,36.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Analytics,Villanova University,Online,"In today’s digital economy, the ability to collect large amounts of quantifiable data and transform it into actionable intelligence is a factor in successfully competing in the global marketplace. As a result, data and the analytics experts are in high demand. That’s why now is the perfect time to earn your Master of Science in Analytics program of Villanova University.","1,188 EUR / credit",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Big Data and High Performance Computing,University of Liverpool,"Liverpool, England, United Kingdom",The Big Data and High Performance Computing programme offered at the University of Liverpool  provides students with an in-depth understanding of big data analysis and processing using high performance computing technology. This MSc programme enables students to gain a specialist qualification in an area of computing that is in great demand worldwide.,"23,774 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
"Computer Science, Data Science Concentration",Fitchburg State University,"Fitchburg, Massachusetts, United States",The Master's Degree Program in Computer Science provides an opportunity for graduate students to obtain competitive skills and knowledge to succeed as computer scientists in the constantly developing high-technology marketplace.,276 EUR / credit,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Geographical Information Systems and Science,Kingston University,"London, England, United Kingdom","The Geographical Information Systems and Science course at Kingston University provides a high level of competency in the principles of GI science and the use of geotechnology, as well as the skills to routinely use professional software for data acquisition, handling, exploration and mapping.","16,730 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Artificial Intelligence,"University of Winnipeg - Professional, Applied and Continuing Education (PACE)","Winnipeg, Canada","Be on the cutting edge of innovation with a diploma in AI and machine learning. In this program, graduates master the skills to create and use problem-solving algorithms to provide insights, predictions, and operationalization strategies needed to transform any organization into an innovative, efficient, and sustainable company of the future.","14,119 EUR / year",month,13.0,Postgraduate Diploma,Full-time,,,,Master's,Postgraduate Diploma,Full-time,No,No,No
Data Analytics,Tufts University,"Medford, Massachusetts, United States","Data analytics is a fast-growing field and often the key to business strategy and the solution to complex questions. Data analysts are sought after in nearly every field. In fact, in a recent study IBM predicts that by 2020 demand for data professionals will increase by 364,000 job openings to 2,720,000.","44,328 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Energy Systems and Data Analytics,University College London (UCL),"London, England, United Kingdom",This Energy Systems and Data Analytics programme from University College London provides an academically leading and industrially relevant study of energy systems through the lens of data analytics.,"29,597 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Statistics,Florida State University,"Tallahassee, Florida, United States",The Department of Statistics at Florida State University offers two MS degrees in Statistics: an MS in Statistics and an MS in Statistics with major in Statistical Data Science.,415 EUR / credit,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Computer Information Systems,Christian Brothers University,"Memphis, Tennessee, United States",The Master of Science in Computer Information Systems (MSCIS) from Christian Brothers University will prepare students for professional success in modern and emerging areas of computer information technology/systems. ,540 EUR / credit,month,18.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Big Data in Culture and Society,King's College London,"London, England, United Kingdom",The Big Data in Culture and Society MA at King's College London recognises the growing importance of Big Data in contemporary society and addresses the theory and practice of Big Data from an arts and humanities perspective.  ,"29,223 EUR / year",month,12.0,M.A.,Full-time,Part-time,,,Master's,M.A.,Full-time & Part-time,No,No,No
Biostatistics,University of Washington,"Seattle, Washington, United States","The Biostatistics program from University of Washington is an accelerated program that provides rigorous training and a practical, applications-driven foundation in statistics. It is designed for students who wish to enter the job market upon graduation.","9,151 EUR / year",month,18.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Geospatial Science,RMIT University,"Melbourne, Victoria, Australia","This Geospatial Science program at RMIT University prepares you for leadership roles in geospatial science, building your understanding of spatial analytics and big spatial data for making critical decisions about our built and natural environment. ","21,323 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Data Analytics,London Metropolitan University,"London, England, United Kingdom",Data Analytics of London Metropolitan University has been developed with direct input from industry experts who’ll present you with real-life business cases as part of your work-related learning. ,"14,584 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Geo-information Science and Earth Observation,University of Twente (UT),"Enschede, Netherlands",The 2-year Master’s Geo-Information Science and Earth Observation leading to an MSc degree from University of Twente (UT) is an internationally oriented programme and is taught entirely in English. ,,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
