course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4
Digital Marketing,UCD Michael Smurfit Graduate Business School,"Dublin, Ireland",This full-time Digital Marketing course at UCD Michael Smurfit Graduate Business School is aimed at graduates who wish to develop a deep understanding and high level of competence in the application of digital marketing tools and techniques.,,month,12,M.Sc.,Full-time,Part-time,,
Professional Program in Data Administration and Management,UC Berkeley Global,Online,"Join the Professional Program in Data Administration and Management from University of California, Berkeley and build a strong foundation in contemporary databases. Enhance your traditional Structured Query Language (SQL) relational-database and information management knowledge.","1,041 EUR / year",month,36,Postgraduate Diploma,Part-time,,,
Data Science,Illinois Institute of Technology,"Chicago, Illinois, United States","In the Master of Data Science program at Illinois Institute of Technology you learn to explore data using high-level mathematics, statistics, and computer science. ","1,327 EUR / credit",month,12,M.Sc.,Full-time,,,
Accounting - Data Analytics Concentration,University of Memphis,"Memphis, Tennessee, United States",The 30-hour master’s program provides students with a corporate governance perspective that emphasizes accounting in a service-oriented economy.,769 EUR / credit,month,12,M.Sc.,Full-time,,,
Stochastic Modelling and Computational Data Science,Heriot-Watt University,"Edinburgh, Scotland, United Kingdom","The Stochastic Modelling and Computational Data Science programme at Heriot-Watt University is for students looking to gain mathematical, computational, and analytical skills that enable them to analyze large data sets to support decisions and conclusions under uncertainty. ","20,616 EUR / year",,,M.Sc.,Full-time,Part-time,,
Business Analytics (Professional),Victoria University,"Melbourne, Victoria, Australia","Become an industry leader in enterprise resource management planning (ERP) systems and SAP with The Business Analytics (Professional) master at Victoria University. VU's business masters programs are world-class, and highly valued in the industry. We have strong industry connections, offering real-world experience and networking opportunities.","18,368 EUR / year",month,24,Full-time,Part-time,,,
Decision Analysis and Data science,Stockholm University,Online,In this Decision Analysis and Data science programme from Stockholm University you will learn how to handle decision situations in a systematic way so that preferred consequences are probable.,"12,808 EUR / year",month,24,M.Sc.,Full-time,,,
Applied Economics and Data Analysis,University of Essex,"Colchester, England, United Kingdom","On the Applied Economics and Data Analysis course offered by the University of Essex you learn how economic data analysis can address practical problems within business, accounting, and development.","20,373 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Accounting with Data and Analytics,University of Southern California,"Los Angeles, California, United States","The Master of Accounting with Data and Analytics (MAcc D+A) offered at University of Southern California delivers a firm foundation in accounting, audit and financial reporting with a focus on Data and Analytics and the enabling of IT capabilities.  ","49,650 EUR / year",month,12,Full-time,,,,
Pre-Master's - Big Data,INTO University of Stirling,"Stirling, Scotland, United Kingdom",Pre-Master's - Big Data at INTO University of Stirling is created to ensure you will be admitted to your desired graduate degree. ,"11,864 EUR / year",month,6,Pre-Master,Full-time,Blended Learning,,
Computer Science,IT University of Copenhagen,"Copenhagen, Denmark","The 2-year MSc in Computer Science from IT University of Copenhagen is a programme for you who have an IT-related undergraduate degree and wish to develop your skills and knowledge in computer science on a high, academic level based on international research.","13,406 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,University of Potsdam,"Potsdam, Germany","The interdisciplinary field of Data Science at the University of Potsdam, deals with methods for using data to automatically produce knowledge, insights, and models for prognosis, risk, and action. The master's degree program, which is taught in English, connects machine learning, statistical data analysis, natural scientific methods of data assimilation, and business analytics.",0 EUR / year,month,24,M.Sc.,Full-time,,,
Business Analytics and Big Data,University of Liverpool,"Liverpool, England, United Kingdom",The Business Analytics and Big Data programme offered at the University of Liverpool covers more than just the mining and analysis of data it explores the wider application of big data to all business functions and creation of new business models.,"24,280 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
